fib,18,3.17,69876,40550
sha2-chain,18,3.41,70020,40694
sha3-chain,18,3.43,70020,40694
btreemap,18,2.84,70124,40798
fib,19,4.79,73148,42142
sha2-chain,19,4.99,73292,42286
sha3-chain,19,4.97,73292,42286
btreemap,19,4.55,73396,42390
fib,20,6.79,73828,42774
sha2-chain,20,7.24,73972,42918
sha3-chain,20,7.32,73972,42918
btreemap,20,6.73,74076,43022
fib,21,11.32,77100,44366
sha2-chain,21,11.93,77244,44510
sha3-chain,21,12.07,77244,44510
btreemap,21,11.27,77452,44718
fib,22,17.79,77780,44998
sha2-chain,22,19.19,77924,45142
sha3-chain,22,19.27,77924,45142
btreemap,22,18.17,78236,45454
fib,23,30.89,81052,46590
sha2-chain,23,32.53,81196,46734
sha3-chain,23,32.75,81196,46734
btreemap,23,32.37,81508,47046
fib,24,51.07,81732,47222
sha2-chain,24,55.35,81876,47366
sha3-chain,24,57.30,81876,47366
btreemap,24,61.23,82898,48068
fib,25,86.75,85004,48814
sha2-chain,25,96.43,85148,48958
sha3-chain,25,97.94,85148,48958
btreemap,25,98.78,86274,49764
fib,26,169.01,85684,49446
sha2-chain,26,180.60,85828,49590
sha3-chain,26,188.27,85828,49590
btreemap,26,187.79,87058,50500
