fib,18,2.18,187711
sha2-chain,18,2.19,191359
sha3-chain,18,2.21,191359
btreemap,18,2.11,192991
fib,19,3.90,197895
sha2-chain,19,4.08,201543
sha3-chain,19,3.93,201543
btreemap,19,3.80,203175
fib,20,7.43,208495
sha2-chain,20,7.65,212143
sha3-chain,20,7.50,212143
btreemap,20,7.08,213775
fib,21,14.62,219511
sha2-chain,21,14.34,223159
sha3-chain,21,14.29,223159
btreemap,21,13.89,226527
fib,22,27.49,230943
sha2-chain,22,29.65,234591
sha3-chain,22,27.32,234591
btreemap,22,36.21,239799
fib,23,54.96,242791
sha2-chain,23,60.89,246439
sha3-chain,23,55.40,246439
btreemap,23,57.81,251647
fib,24,111.35,255055
sha2-chain,24,112.07,258703
sha3-chain,24,111.63,258703
btreemap,24,109.58,265855
fib,25,289.54,267735
sha2-chain,25,309.63,271383
sha3-chain,25,314.68,271383
btreemap,25,297.00,280583
